"","Variables","Estimate","Std..Error","t.value","Pr...t..","Estimate.2011","Std..Error.2011","t.value.2011","Pr...t...2011","Estimate.2013","Std..Error.2013","t.value.2013","Pr...t...2013","Estimate.2015","Std..Error.2015","t.value.2015","Pr...t...2015","Estimate.2017","Std..Error.2017","t.value.2017","Pr...t...2017","Estimate.hypertention_aware","Std..Error.hypertention_aware","t.value.hypertention_aware","Pr...t...hypertention_aware"
"59","cc_bmi30 to <35",0.252654416954598,0.167192129678841,1.51116214285877,0.130796155913877,-0.288872971602421,0.349747351081761,-0.825947561029248,0.408958064387534,0.229576783163903,0.274830329634122,0.835340056788987,0.403645902987654,0.430392015193024,0.361266900850313,1.19134084572933,0.233730458945033,0.266181926275694,0.265465047925497,1.00270046228609,0.316091741905054,0.899432043473397,0.135685870947035,6.62878188565769,3.68012286482482e-11
"60","cc_bmi35+",0.101618180303028,0.17271043828208,0.588373125063001,0.556302483376744,0.170591906367564,0.348770321601082,0.489123918527347,0.624821601853014,-0.145442164201557,0.29526324328093,-0.49258472739587,0.622370872402735,0.246164724981311,0.359637299917102,0.684480517004363,0.493789975026073,0.309348027403627,0.270781845310348,1.14242528722366,0.253374615960006,1.09747079122971,0.138518369632314,7.92292599272466,2.74490943408905e-15
"61","svy_year2015-2016",-0.334132249570903,0.13452462194228,-2.48379995235569,0.0130240943896539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.267015724169369,0.113782824203794,-2.34671380358007,0.018972150010334
"62","svy_year2017-2020",-0.21268759839439,0.119715144202392,-1.77661397654767,0.0756789197257851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263523825395665,0.10536761444196,-2.50099451137164,0.012410962873472
"63","cc_smokeFormer",0.137482595814278,0.114736760913385,1.19824365547555,0.230866221153613,-0.349173579135993,0.242593574925594,-1.43933564292908,0.150252778634525,-0.0812910575872786,0.19930582609743,-0.40787095479858,0.683420762937709,0.592212088015079,0.265839925870939,2.2277018249794,0.0260656671987364,0.0627468644659922,0.169676880615988,0.369802086402098,0.711557827681165,-0.101089924965003,0.105108871241398,-0.961763966933248,0.336206945438809
"64","cc_smokeCurrent",0.0363364773841759,0.162613314680469,0.2234532729105,0.823189826257602,0.0357002267636212,0.297534917983187,0.11998667922949,0.904508897123211,-0.354763788589703,0.255194985711253,-1.39016755208157,0.164663478612719,0.405074151264675,0.353500392558723,1.14589448779009,0.252043101197065,0.0835940826542558,0.258810978217739,0.322992800498315,0.746724726393907,0.335696189725815,0.135233732371783,2.48234063970758,0.0130793955652963
"65","DMDEDUC22",-0.225181372676881,0.253385477229454,-0.88869091922331,0.374202368452416,0.383289939398957,0.386427925010236,0.99187950609109,0.321407606455788,0.0295378195380917,0.481837619778073,0.0613024353550816,0.951125695478271,0.429689661960447,0.496766362945088,0.864973343631853,0.387208008698551,-0.642531176335741,0.362476804724823,-1.77261322093016,0.0764011401939636,0.540944748555857,0.215289129747849,2.512643110172,0.0120090687121955
"66","DMDEDUC23",0.0638569113764049,0.23120470664238,0.276192090999154,0.782409384458126,-0.112804361973347,0.364420839556783,-0.309544212977891,0.756948247840855,0.360070461082581,0.443497041066196,0.811889207235629,0.416971053401475,0.386748482270206,0.456312867498739,0.847551120769732,0.396839133991757,-0.250049443255257,0.326231350235995,-0.766478890132331,0.443455792390031,0.334531622499122,0.195599682871256,1.710287141515,0.0872644946872649
"67","DMDEDUC24",-0.0162887096335719,0.229459599323288,-0.070987266087842,0.943410091939014,-0.0384745083246559,0.379023638040931,-0.101509522001108,0.919158830237997,0.194834245040296,0.440536213972997,0.442266126734904,0.658353977454255,0.161831765676075,0.438848303008193,0.368764706543833,0.712361280446591,-0.133886785450125,0.325175556867168,-0.411736929860373,0.680563656589644,0.402827807595924,0.189318026042544,2.12778368767378,0.0333956843834935
"68","DMDEDUC25",0.0378910250962598,0.24160924602899,0.156827711352211,0.875385543334866,-0.0282663018548156,0.402881521540965,-0.0701603333573131,0.944074890883613,0.0909592154189155,0.460696430168135,0.197438507143889,0.843508454416847,0.237604269160779,0.45698321022564,0.519940916523957,0.603190508513199,-0.105792570953879,0.343845043737231,-0.307675137044366,0.758352342190453,0.17069180363451,0.195576153145153,0.872763887056444,0.382826718322807
